,Company,URL,Title,Description
0,Experfy,https://www.linkedin.com/company/experfy/people/?facetGeoRegion=103644278&keywords=machine%20learning,Data Scientist,"About the job
We are seeking a Principal Data Scientist with strongly developed expertise in graph-based AI and related technologies to maximize utilization of data and knowledge in data and digital transformation.

Lead Data Scientist Responsibilities:
Lead data science area deliverables for digital products / programs / initiatives including the allocation of work within the team, monitors the quantitative and qualitative achievements of the team, and reports results
Work as an individual contributor, providing data science expertise to digital products / programs / initiatives.
Apply in-depth experience with both statistical and modern data science approaches, including unsupervised, supervised, regression algorithms.
Apply advanced techniques such as neural networks, deep learning, NLP and federated learning.
Build models, algorithms, simulations and experiments by writing highly optimized code and using state-of-the art machine learning technologies.
Collaborate cross-functionally in teams involved in data driven analytics to maximize impact of graph-based capabilities
Build and manage support models incorporated into digital or AI products; Work with Infrastructure and Ops teams to ensure appropriate architecture and tooling
Capacity to mentor junior personnel
Be able to apply in-depth experience with both statistical and modern data science approaches to business cases and knowledge management tasks
Strong written and verbal communication skills - ability to communicate complex ideas up to people of varying technical skills
Work with developers, engineers, and MLOps to deliver AI/ML solutions for new products/services

Requirements

ESSENTIAL EXPERIENCE:
Lead - Master’s degree in mathematics, computer science, engineering, physics, statistics, economics, computational sciences or a related quantitative discipline and 5+ years of analytical experience in an industrial or commercial setting OR PhD degree with at least 3+ years of industry experience
DS- Master’s degree in mathematics, computer science, engineering, physics, statistics, economics, computational sciences or a related quantitative discipline and 3+ years of analytical experience in an industrial or commercial setting OR PhD degree with industry experience
Experience AI/ML/NLP modelling of complex datasets.
Advanced software development skills in at least two of the standard data science languages (such as Python, R, Scala, C++, Julia) and strong data manipulations skills (e.g. SQL, NoSQL, graph, etc.)
Knowledge of SQL and relational databases, query authoring (SQL) and designing variety of databases (e.g. Postgres SQL)
Comfortable working in cloud and high-performance compute environments (e.g. AWS, Apache Spark) Disciplined AI/ML deployment (MLOps, CI/CD) and Agile delivery
Experience in coordination of delivery teams and providing feedback to their management
Excellent written and verbal communication, business analysis, and consultancy skills

Additional required – deep experience in one of these areas:
Graph- Experience AI/ML modelling of complex datasets, network analysis or direct experience in creating and maintaining graph data models. Experience with a variety of graph technologies Knowledge of graph databases like Neo4J (Cypher, causal clusters), JanusGraph (Gremlin, GraphML), AWS Neptune, OrientDB. xpertise in machine learning/deep learning-based graph algorithms relevant to link prediction, ranking/recommendation, completion, community detection, node embedding, etc.
Familiarity with Deep Learning, neural network architectures including CNNs, RNNs, Embeddings, Transfer Learning, Attention-based Networks, Statistical Learning, Restricted Boltzmann Machines (RBMs), Belief Networks, and Reinforcement Learning
Deep experience in developing models for private sector or industrial setting e.g."
1,Harvard University,https://www.linkedin.com/company/harvard-university/people/?facetGeoRegion=103644278&keywords=machine%20learning,Data Scientist,"About the job
Position Description

Our group in the Department of Neurobiology at Harvard Medical School is looking for an innovative and enthusiastic software engineer to join a multidisciplinary research laboratory. This position is ideally suited to a strong programmer wishing to apply their skills to understanding biological neural networks. We are interested in how computations arise from the organization and connectivity of neuronal networks. To analyze neural circuit structure and function at highest resolution and completeness possible, we combine large-scale structural and functional imaging techniques including high-throughput electron and X-ray microscopy, and in vivo two-photon calcium imaging. We seek a software engineer with strong programming skills and coding experience. They should be capable of developing and deploying software for large data processing, handling, and analysis; user interfaces; and for driving custom hardware.

Main Projects Include
Development of software for high-throughput imaging instrumentation;
Development of software and machine learning pipelines for large-scale data processing and analysis;
Development and support of large data processing, storage, and computing infrastructure;
Success will require close working collaboration with biologists and the ability to independently develop scientific computing software solutions to address biological questions. Building and optimizing programming pipelines will play a vital role in helping us to better understand the brain.

Typical Duties Of The Functional Connectomics Software Engineer Include
Developing software to generate, process, and analyze large-scale image data;
Big data wrangling;
Scientific software support and documentation for biologists;
Computational systems oversight and programming;
Communicating with collaborators and service providers;
Documenting projects and communicating project progress.
We Offer The Opportunity To
Apply your coding skills toward understanding the brain in a vibrant academic environment;
Do cutting edge science with a supportive and collaborative team;
Basic Qualifications
Minimum of two years’ post-secondary education or relevant work experience
Additional Qualifications And Skills

Bachelor's Degree in computer science, engineering, life or physical sciences or a related discipline preferred. Highly proficient in Python. Advanced degree may count toward experience.

We Are Especially Interested In Candidates With
an advanced degree in science or engineering
programming experience in languages (e.g., C, Java, MATLAB) in addition to Python
experience with machine learning, deep learning, and convolutional neural networks
work experience in biomedical research and/or an academic science environment
demonstrated experience teaching or training in an informal setting.
The successful candidate will be self-motivated, and creative, and enjoy working in a dynamic and intellectually stimulating environment. S/he will be skilled at translating research problems into well-defined technical specifications and then developing and supporting user-friendly software solutions; s/he will have excellent coding skills; interpersonal skills; and enthusiasm for collaborating closely with biologists. Demonstrated experience in software development from the industry a plus.

Certificates and Licenses
Completion of Harvard IT Academy specified foundational courses (or external equivalent) preferred
Working Conditions
Occasionally required to work outside of normal business hours, and may be contacted during off hours
Additional Information

This is a one-year term position from the date of hire, with the possibility of extension, contingent upon work performance and continued funding to support the position.

The University requires all Harvard community members to be fully vaccinated against COVID-19 and remain up to date with COVID-19 vaccine boosters, as detailed in Harvard’s Vaccine & Booster Requirements . Individuals may claim exemption from the vaccine requirement for medical or religious reasons. More information regarding the University’s COVID vaccination requirement, exemptions, and verification of vaccination status may be found at the University’s “COVID-19 Vaccine Information” webpage: http://www.harvard.edu/coronavirus/covid-19-vaccine-information/ .

Please note that we are currently conducting a majority of interviews and onboarding remotely and virtually. We appreciate your understanding.

Harvard University Offers An Outstanding Benefits Package Including
Time Off: 3 - 4 weeks paid vacation, paid holiday break, 12 paid sick days, 12.5 paid holidays, and 3 paid personal days per year.
Medical/Dental/Vision: We offer a variety of excellent medical plans, dental & vision plans, all coverage begins as of your start date.
Retirement: University-funded retirement plan with full vesting after 3 years of service.
Tuition Assistance Program: Competitive tuition assistance program, incredibly affordable classes directly at the Harvard Extension School, and discounted options through participating Harvard grad schools.
Transportation: Harvard offers a 50% discounted MBTA pass as well as additional options to assist employees in their daily commute.
Wellness Options: Harvard offers programs and classes at little or no cost, including stress management, massages, nutrition, meditation, and complementary health services.
Harvard access to athletic facilities, libraries, campus events, and many discounts throughout metro Boston.
The Harvard Medical School is not able to provide visa sponsorship for this position.

Not ready to apply? Join our talent community to keep in touch and learn about future opportunities!

Job Function

Information Technology

Department Office Location

USA - MA - Boston

Job Code

I1256P IT RC Software/Data Prof II

Department

Neurobiology

Sub-Unit

Time Status

Full-time

Salary Grade

056

Union

00 - Non Union, Exempt or Temporary

Pre-Employment Screening

Education, Identity

Commitment to Equity, Diversity, Inclusion, and Belonging

We are committed to cultivating an inclusive workplace culture of faculty, staff, and students with diverse backgrounds, styles, abilities, and motivations. We appreciate and leverage the capabilities, insights, and ideas of all individuals. Harvard Medical School Mission and Community Values

EEO Statement

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, gender identity, sexual orientation, pregnancy and pregnancy-related conditions, or any other characteristic protected by law."
2,Corning Incorporated,https://www.linkedin.com/company/corning-incorporated/people/?facetGeoRegion=103644278&keywords=machine%20learning,Data Scientist,"About the job
Requisition Number: 60390

Corning is vital to progress – in the industries we help shape and in the world we share.

We invent life-changing technologies using materials science. Our scientific and manufacturing expertise, boundless curiosity, and commitment to purposeful invention place us at the center of the way the world interacts, works, learns, and lives.

Our sustained investment in research, development, and invention means we’re always ready to solve the toughest challenges alongside our customers.

As a leading developer, manufacturer, and global supplier of scientific laboratory products for 100 years, Corning’s Life Sciences segment collaborates with researchers seeking new approaches to increase efficiencies, reduce costs and compress timelines in the drug discovery process. Using unique expertise in the fields of materials science, surface science, optics, biochemistry and biology, the segment provides innovative solutions that improve productivity and enable breakthrough discoveries.

Scope Of Position

In this role, you will drive the definition, development, and communication of data understanding and key insights from data. You will be joining an analytics center of excellence for the Corning Life Science division. Our mission is to add value to the business by utilizing our expertise in data, statistics, and machine learning to identify and address the biggest opportunities to grow out $1B+ business.

Required Education And Years Of Experience
Bachelor's degree in Mathematics, Computer Science, Engineering, Operations Research, or related discipline.
Minimum of 3 years’ experience in data science, statistics, and/or analytics
Minimum of 1 years’ experience with Pyspark, Python or other similar scripting language
Required Skills
Strong knowledge in descriptive and inferential statistics as well as supervised and unsupervised methods
Experience applying various machine learning techniques, and understanding the key parameters that affect performance
Experience with database query languages such a SQL
Experience displaying complex quantitative data in a simple, intuitive format and presenting findings clearly and concisely.
Experience working directly with business stakeholders to translate between data and business needs.
Day To Day Responsibilities
Perform hands-on data analysis and modeling with large data sets to develop insights that improve business revenue and/or margin
Apply machine learning and statistical techniques to understand, predict or optimize impactful drivers of our business
Contribute to team development operational best practices to allow tools and techniques to scale
Prepare and deliver analyses and insight reviews to senior leadership
Collaborate with IT, external data partners, and self-developed databases to enable the appropriate capture, storage, data visualization and analysis of key data elements
Enable effective decision making by identifying, retrieving, and aggregating data from multiple sources and compiling it into a digestible and actionable structure and format
Contribute and participate in the Corning-wide data science community
Stay current with the evolving technology and modeling techniques
Desired Experience / Qualifications / Skills
Master's degree in Data Science, Mathematics, Statistics, Engineering, or another quantitative field
Experience with data visualization and tools such as Power BI, Tableau, or similar.
Experience developing Extract, Transform, Load (ETL) pipelines for processing raw data.
Able to think creatively and possess strong troubleshooting and problem solving skills
Demonstrated ability to work effectively cross-functionally with IT, Supply Chain, Sales, Business Operations, data subject matter experts, Data Engineers and other Analysts to mine the right data sources efficiently and accurately
Excellent organizational skills including prioritization of multiple concurrent projects while still delivering timely and accurate results
Ability to break down complex problems into smaller deliverables that add value
Business Acumen
This position does not support immigration sponsorship.

Corning Puts YOU First!

We are committed to supporting your health, financial, career development, and life goals as you grow professionally and personally to achieve your highest potential. All benefits begin as soon as you start your career at Corning.
Our monetary peer-to-peer recognition program is tied to our values and celebrates you and your colleagues’ contributions.
Health and well-being benefits include medical, dental, vision, paid parental leave, mental health/substance, fitness, and disease management programs.
Financial benefits include a 401(k) savings plan with company matching contributions and a 100% company-paid pension benefit that grows steadily throughout your career.
Companywide bonus and attractive short- and long-term compensation programs are available based on your role and responsibilities.
Professional development programs help you grow and achieve your career goals.
We prohibit discrimination on the basis of race, color, gender, age, religion, national origin, sexual orientation, gender identity or expression, disability, veteran status or any other legally protected status.

We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation."
3,WinMax,https://www.linkedin.com/company/winmax-systems/people/?facetGeoRegion=103644278&keywords=machine%20learning,Data Scientist,"About the job
Job Title: Data Scientist

Location: 100% remote

Duration: 18 months

Job Description

The Microsoft Mixed Reality team works with big data. You will join the Hololens Product Integrity Group as we outline our next generation data analytics architecture, allowing us to monitor product quality, apply correlation and understanding to device measurements, and deploy new test coverage for the product.

Experience

An Engineering B.S. with Data Science/Analytics experience, a grounding in statistics and analysis.

Skills: JMP, PowerBI/ DAX Formulas, SQL manipulation, regression analysis. Also interesting: R, Python, Tableau or similar graphical reporting tools.

Network infrastructure and experience architecting Azure based systems is also a plus.

Skills

This role involves H/W and Software background which allows the measurement of how the network performs.

Candidate must be US Citizen or Green card holder."
4,Corporate Solutions Tech,https://www.linkedin.com/company/corporate-solutions-tech/people/?facetGeoRegion=103644278&keywords=machine%20learning,Data Scientist,"About the job
Role: Data Scientist

Location: New York (Remote)

Top Skills For The Role
Programming experience Python, etc.
Presentation skills
Understanding of media is a huge plus
Prior media/streaming experience, business project (results listed out/models), modelling experience, true data science experience.
Qualifications

Minimum 3 years of applied work experience in BI, Analytics, and/or Data Science. Hands on experience analyzing and mining large datasets.

Eligibility Requirements

Willingness to, at times, work extended hours and on weekends with short notice

Desired Characteristics

Strong applied experience in at least two of the following: SQL R, Python. Experience with predictive modeling, multi-regression, decision tress, and cluster analysis.

Demonstrated ability to thrive in a fast paced, high throughput environment. Previous experience in Digital Entertainment, High Tech, or Digital Marketing industries is preferred.

Proven ownership abilities. Can deliver results with a sense of accountability

Responsibilities

Leverage data science to identify patterns as part of long term strategic assessments and recommendations Build long-range predictive models to evaluate and optimize long term goals Simulate and predict long term demand for various scenarios to assist with investment decisions Clearly display data visualization to convey a point in programs such as Tableau

Develop a comprehensive knowledge of the business, and utilize it to derive exacting data science project requirements from general business problem discussions

Design and code data products that implement the full scope of ingesting and updating data, building and refreshing models, scoring using those models, and then serving results on an ad-hoc and on-demand basis

Help drive A/B testing for Marketing and Product teams through reporting and insight.

Find growth opportunities through customer segmentation and retention analysis. Create customer cohorts through predictive modeling and CRM database marketing.

Help manage prioritization in sprints and participate in daily scrums.

Partner closely with Marketing, Product, Ad Sales, Strategy, and Production teams to provide BI support and data analysis.

Create standardized reporting for multiple groups within the NBCED organization.

Provide ad-hoc analyses, troubleshooting, and deep dives as needed.

Create presentations."
5,Northeastern University,https://www.linkedin.com/company/northeastern-university/people/?facetGeoRegion=103644278&keywords=machine%20learning,Data Scientist,"About the job
About The Opportunity

Position Summary and Responsibilities:

Support computational metabolomics research effort
Serve as subject matter expert on computational metabolomics
Interface between biologist and computational science teams
running IROA calibrations and experiments on mass specs
parsing the data from said experiments, testing and developing different algorithms for the processing of isotopically labelled single cell data

Qualifications

Knowledge, Skills and Abilities:

Bachelor of science in areas related to biological sciences and/or bio informatics
Experience in drug discovery, mass spectrometry, and metabolomics
Understanding and experience of applying analysis techniques and data science to areas in life sciences and spectrometry
Proficiency with statistical computer languages such as Python or R.
Proficiency with relational database systems (SQL) and object-based data stores.
Advanced applied statistics skills, such as distributions, statistical testing, regression, etc.
Professional experience with developing machine learning solutions and applying them in real-world scenarios.
Proficient in Git and version control.
Ability to define and solve logical problems for technical applications.
Knowledge of and ability to select, adapt, and effectively use a variety of programming methods.

Preferred Experience

Master’s degree in Computer Science, Mathematics, or Artificial Intelligence.
Experience with distributed data systems such as Apache Hadoop.
Expertise in analyzing large, complex, multi-dimensional datasets with a variety of tools.
Proficiency in Linux and version control software (git).
Familiarity with Object Oriented programming languages such as Java, C# or C++.
Familiarity with Agile / Scrum development practices.
Experience applying data science and data analysis in Life Sciences - particularly advanced analytics in drug discovery and therapeutic effectiveness

Position Type

Research

Additional Information

Northeastern University is an equal opportunity employer, seeking to recruit and support a broadly diverse community of faculty and staff. Northeastern values and celebrates diversity in all its forms and strives to foster an inclusive culture built on respect that affirms inter-group relations and builds cohesion.

All qualified applicants are encouraged to apply and will receive consideration for employment without regard to race, religion, color, national origin, age, sex, sexual orientation, disability status, or any other characteristic protected by applicable law.

To learn more about Northeastern University’s commitment and support of diversity and inclusion, please see www.northeastern.edu/diversity."
6,Iknal Semikan,https://www.linkedin.com/company/iknal-semikan/people/?facetGeoRegion=103644278&keywords=machine%20learning,J2001 AI Software Developer - Work in Sweden,"About the job
Work in Sweden

All of our job offerings are temporarily remote from your home country, but then we will help you migrate to an amazing country, Sweden! We will provide you with a work permit and an exciting job opportunity.

About The Role

Our client development team focused on product development within Life Science and above all Medical Technology is looking for new colleagues! 💥 Innovation and growth are high on their agenda and right now there are great opportunities to be directly involved in exciting assignments in Gothenburg.

The purpose of the role is to work on Graph Data Science (GDS) library to implement machine learning algorithms on graphs. This can include leveraging known algorithms, adapting them, or designing novel methods. Identifying and integrating new areas of research and modeling that can solve even our customers’ most difficult problems.

Apply today! Get the job! Get a new life!

Requirements

Are you are a hands-on person, that loves coding as much as anything else and would like to deploy software engineering practice into machine learning projects? You probably have most of the following:

An experienced software developer (3+) with a strong mindset of building a scalable and high-quality software product.
Experience in machine learning, mathematics, and/or statistics
A great interest in big data and machine learning technology. Spark and Hadoop are good to have.
Experienced in one of the following programming languages: Python, Scala, or Java.
Hands-on experience in DevOps and automate software development process, like familiar with tools like Jenkins, Docker, and Kubernetes, etc.
Experienced in at least one of cloud solutions like AWS, Azure, or GCP
As a person, you are self-motivated, flexible and a good team player in an Agile team setup, willing to take different kinds of tasks.

About The Company

We are not offering just a new job. We want to help you to build a new exciting life in a country where technology and innovation are a reality in the present and the compass of the future. When you come to Sweden, you can count you will get a real work-life balance; you will delight and learn from the job challenges as working for companies that develop unique products and services; but also where you can be sure that your personal time is respected, so you can enjoy all the aspects of your personal life.

Sweden is well known for its secure and tranquil life, where personal differences are respected, and diversity is a common value, as the greatest egalitarian society in the world. So if you are a talented Software developer, this is your chance to live more than ever imagined."
7,Massachusetts Institute of Technology,https://www.linkedin.com/company/mit/people/?facetGeoRegion=103644278&keywords=machine%20learning,Technical Associate I/Data Scientist,"About the job
Information on MIT’s COVID-19 vaccination requirement can be found at the bottom of this posting."
8,SynergisticIT,https://www.linkedin.com/company/synergisticit/people/?facetGeoRegion=103644278&keywords=machine%20learning,Machine Learning Developer,"About the job
About Us

Synergistic IT is a full-service staffing and placement firm servicing client in America for the past 12+ years. We are dedicated towards fulfilling the IT needs of our clients. From staffing to full implementation of projects we provide the highest quality IT Services. We don't just help you secure a Tech Job, but we build your solid career in technology.

Job Description

Technical Skills:

Python, Model Training/Testing
Primary Responsibilities

Working on the awesome AI product for document information extraction.
Build the next-generation information extraction product powered by state-of-the-art AI and Deep Learning techniques.
Work with an international top-notch engineering team with full commitment on Machine Learning development.

Required Candidate Profile

Skills Required:

Passionate about search amp; AI technologies. Open to collaborating with colleague's amp; external contributors.
Good understanding about the mainstream deep learning models from multiple domains: computer vision, NLP, reinforcement learning, model optimization etc.
Skilled in the following programming languages: Python 3.
Good English skills especially for writing and reading documentation

Education Requirement

Bachelors, Masters in Computer Science/ Computer Engineering/ Information Systems/Information Technology/ Electrical Engineering/ Mechanical Engineering.

Benefit's Of Working With Our Clients

E-Verified.
Help to get H1b Employer
Long Term Positions
On Job Technical Support.

Candidate who are missing the required skills, might be provided an option to enhance their skills, so that they can also apply for the role and can make a career in IT industry.

If you do respond via e-mail, please include a daytime phone number so that we can reach you. In considering candidates, time is of the essence, so please respond ASAP. Thank you"
9,HexaQuEST Global,https://www.linkedin.com/company/hexaquest-global/people/?facetGeoRegion=103644278&keywords=machine%20learning,Python Data Engineer,"About the job
Skill Set: Python, or R, SQL experience , Preferred on Spark and ETL.
Candidates will be assisting TriNetX on moving a lot of data into data bricks and running code libraries and notebooks for different modules of analytics. Also, the Data engineer will evaluate the code, analyze within the table structures which has a lot of EHR-Data.
They need to explore datasets which are largely marked as unknown without many details within the datasets, review the tables and will perform data engineering, mining of the EHRinfo.
Analyzing data that is downloaded, joining it up with criteria and filtering, a lookup table and match up people with these codes, and then create a final table that an epidemiologist can use for analysis.
Advance analytics on Databricks (platform). The job duties also include data integration
Need exposure to data related to EHR as they need to better understand the domain as well and will be talking to several internal stakeholders from reporting/analysis standpoint. Candidates who had prior experience in handling EHR data (Healthcare domain) will be a big plus from a domain as this involves a lot of analysis/reporting as you can see above.
No shift timings associated with this as it is not Offshore"
