,Company,URL,Title,Description
0,"Rodenhiser Home Services, Inc.",https://www.linkedin.com/company/rodenhiser-plumbing-heating-&-air-conditioning/people/?facetGeoRegion=103644278&keywords=painter%20painting,Residential Painter,"About the job
Never job search again.

Rodenhiser has been crafting an elite team of technicians since 1928 who service thousands of happy customers. With Rodenhiser’s size comes numerous advantages you won’t find elsewhere.

At Rodenhiser:

You are prepared. Rodenhiser’s in-house training will provide you hands-on experience with state-of-the-art equipment.
You are never rushed. Rodenhiser’s scheduling ensures you will always have sufficient time to fully evaluate and fix the problem.
You are never alone. Rodenhiser’s team of nearly 100 experienced technicians create an in-the-field network you can always rely on.
You are appreciated. Not just by the Rodenhiser team, but by so many satisfied customers you help every day.
You have balance. Some field positions are eligible for flexible hours to best accommodate the needs of you and your family.
You advance. Rodenhiser provides you a clear, concrete path to advancement so you can reach new heights. We are looking for nice people who want to grow with us.
You have fun. From frequent BBQ’s and holiday parties to softball games and 5Ks to community service events, the Rodenhiser family does it all!

At Rodenhiser, we already have all of these benefits. Don’t you want them too?

The Big Task

Be a part of a growing department while performing residential painting.

Key Task

Interior and Exterior Residential Painting

Desired Skills And Experience

Excellent Customer Service
Experience with Painting and Wallpapering
Carpentry experience is a plus
High school diploma or equivalent.
Valid driver’s license and clean driving record

What We Offer

Rodenhiser offers aggressive wages, 401(K); Generous Paid Time Off; holiday pay; bonuses; health, dental, life and AD&D insurance; short-term and long-term disability and all are included in our comprehensive benefit package. As a Rodenhiser employee, you will work for a company that has been a trusted leader in home services for more than 90 years.

Powered by JazzHR

5p4FhWNhlg"
1,Next Step Healthcare,https://www.linkedin.com/company/nextstephc/people/?facetGeoRegion=103644278&keywords=painter%20painting,Painter,"About the job
Now Hiring!

Floating Painter at Next Step Healthcare

Temporary Full Time Position: Painter for Various Locations in Massachusetts

At Next Step Healthcare, we know that working in the healthcare industry is more than just a job – it’s a way of life reserved for the most compassionate, caring, and hard-working individuals. We are privileged to work alongside people who believe, like we do, that locally owned and operated healthcare facilities should go beyond simply “meeting the needs” of its residents.

Floating Painter Pay: $25.00

Job Summary

The primary purpose of this position is to maintain the interior finish of the facility in a safe, and clean manner in accordance with facility guidelines and established policies and procedures, and to assure that a successfully interior finish is maintained at all times.

Responsibilities and Duties:

Meet the interior finish needs of the facility
Prepares and repairs surfaces to ready them for painting
Paints interior walls and ceiling using a brush and roller
Meet the maintenance needs of the facility when directed by supervisor

Qualifications And Skills

General background in painting, repair and maintenance

If you have a passion for helping people, for making them feel safe, respected, cared for and listened to, then your next step is with us.

HPIND123

Powered by JazzHR

mPvV0IX4Z5"
2,InfiCare Staffing,https://www.linkedin.com/company/inficarestaffing/people/?facetGeoRegion=103644278&keywords=painter%20painting,"Urgent Hiring - Painter - Jamaica Plain, MA","About the job
Job Description-

Title: Painter

Location: Jamaica Plain, MA

Duration: 12-week contract (Possible Extension)

Painter Responsibilities: Selecting the correct tools and paints for projects. Preparing walls and other surfaces before painting. Mixing and applying paints, varnishes, and sealants for a lasting finish. Covering exposed objects and surfaces. Using fillers such as putty and plaster to repair cracks. Buying paint, brushes, and other supplies. Obeying workplace safety rules. Collaborating with other design and construction specialists. Keeping the workspace and tools clean."
3,Mount Auburn Hospital,https://www.linkedin.com/company/mount-auburn-hospital/people/?facetGeoRegion=103644278&keywords=painter%20painting,Wallpaper/Painter,"About the job
When you join the growing BILH team, you're not just taking a job, you’re making a difference in people’s lives.

Job Type

Regular

Scheduled Hours

40

Work Shift

Day (United States of America)

Job Description

Principal Duties and Responsibilities

Prepares and repairs surfaces to ready them for papering or painting, including stripping old paper, cleaning dirty surfaces, plastering cracks and holes, and sanding.
Paints interior walls and ceilings using a brush, roller, or spray gun.
Applies stains, sealing coats, and varnishes as required.
Covers interior walls and ceilings of rooms with decorative wall covering or fabric, measuring walls and ceilings to compute number and length of strips required to cover surface.
Paints other surfaces such as woodwork, fixtures, furniture, door and window signs, or equipment used by or in the hospital within time allotted to project. This task includes performing refinishing duties on doors and woodwork.
Performs other painting and redecorating duties as assigned.
Works on occasional evening and/or night shift (10% of work time in the course of one year).
Works under supervision of the painting manager.

Required Qualifications

Knowledge of basic arithmetic to measure and fit strips of wall covering.
One month of on-the-job training to learn wall covering techniques and hospital layout.
Ability to perform most duties alone and to make decisions concerning task, equipment, and materials.
Receives work orders and necessary instructions from the working foreman for every job.
Standing is required 95% of work time

FLSA Status

Non-ExemptAs a health care organization, we have a responsibility to do everything in our power to care for and protect our patients, our colleagues and our communities. Beth Israel Lahey Health requires that all staff be vaccinated against influenza (flu) and COVID-19 as a condition of employment. Learn more about this requirement.More than 35,000 people working together. Nurses, doctors, technicians, therapists, researchers, teachers and more, making a difference in patients' lives. Your skill and compassion can make us even stronger. Equal Opportunity Employer/Veterans/Disabled"
4,Metatheory Inc.,https://www.linkedin.com/company/metatheory-inc/people/?facetGeoRegion=103644278&keywords=painter%20painting,"Lead Technical Artist (Remote, USA)","About the job
Metatheory Inc. is a technology-driven entertainment company. With a focus on blockchain, we build games, interactive multi-platform stories, and virtual world experiences imagined across innovative story franchise IPs. We are a remote-first dynamic team of builders, developers, and entrepreneurs that include key founding members from Twitch, as well as Emmy and Peabody Award winning producers and storytellers.

Our flagship IP is DuskBreakers, an eccentric, interactive sci-fi saga set in a post-apocalyptic world where a mysterious alien ship (The Dusk) becomes a beacon of hope for humanity. The franchise spans games, video, NFTs, and other media formats.

Please note- this position will be working closely with our talented Art Director who is located in Sweden. Candidates must be comfortable aligning their schedules to closely match Sweden's time zone!

The Lead Technical Artist makes sure the artists have the tools they need and that art is produced in a way that is time efficient and aligned with the technical limitations of the target platform. The role also requires you to make sure we are using the correct tools, in the right way, in order to reach the project’s visual ambition.

The ideal candidate is a hybrid between artist and programmer, and will work as a link between the two departments. You are proactive and able to work remotely. You also have extensive knowledge in softwares that offers procedural solutions, such as Houdini and Substance.

You will work closely with the Art Directors to help implement, research, and evolve our content pipelines and tools required to reach our visual ambitions.

As an employee at Metatheory, you will work remotely in a team spread all over the world, where social skills are very important.

Responsibilities

Work with the Art Director to enable and execute the project’s vision
Help develop or acquire the tools required to achieve the Art Direction and maximize the visual quality of our products
Define and document the graphic production pipeline (modeling, animation, characters, lighting, shaders, VFX, etc..) while maintaining them through production
Coordinate and act as an intermediary between the Tech Art, Art, and the Programming team, including validation of render and tool requests from the Art Team
Assure the consistency of performance and art quality throughout our games from a technical perspective
Propose and support the right tools to accelerate certain procedural tasks used in production of high volume and high quality 3D art content

Requirements

5+ years’ experience and shipped titles as a Technical Art Director or Lead Technical Artist in the game industry
Strong artistic eye for multiple disciplines such as 3D art, lighting, VFX
Experience mentoring a team of artists, engineers, and/or technical artists. Strong knowledge of rendering pipelines and shaders
Comprehensive knowledge of CG fundamentals: modeling, textures/shaders, rigging, animation, lighting, rendering, compositing
Comprehensive knowledge of DCC software such as Maya, Houdini, Substance Designer and Substance Painter
Excellent aptitude for troubleshooting technical issues associated with lighting, shaders, performance, tools and pipelines. Knowledge of Python and the Qt Framework
Competent in designing and developing tools and pipelines for artists
Ability to communicate effectively with artists, designers, engineers, and other members of the development team

Bonus

Experience with pre-rendered pipelines
Knowledge and experience using C++
Experience in creating and optimizing shaders
Experience with Houdini and procedural pipelines
A foundation in traditional art

You may be required to use some or a combination of the following software:

Unity
Houdini
C, C++, Java
Python
Maya
Adobe Photoshop
Substance Painter
Substance Designer

You will need to have your own computer and software initially.

We were founded to challenge the ways that we all relate to games and storytelling, and in doing so change how we relate to each other. As an equal opportunity employer, we aim to create a culture of safety and belonging from how we hire to how we build communities.

Even if you do not meet all of the qualifications listed above, but feel you could add a valuable perspective to our organization, we’d still love to hear from you!"
5,"Stewart Painting, Inc",https://www.linkedin.com/company/stewart-painting-inc/people/?facetGeoRegion=103644278&keywords=painter%20painting,Experienced Painter,"About the job
This job is sourced from a job board. Learn more
Stewart Painting is actively seeking a detail-oriented full-time or part-time Experienced Painter to provide the highest quality of interior and exterior painting for our clients in the Hingham, MA area. Are you self-motivated and goal-oriented? Do you have the desire to work with a company that values and respects you? Do you take pride in the quality of your workmanship? If so, read on about this job!

This painting position earns a competitive wage of $20 to $23 an hour, based on skill level, and works M-F 7:30am-5pm. We provide amazing benefits and perks, including time and a half for over 40 hours worked, medical and dental insurance, 401(k) with employer match, paid holidays, paid vacation, and more. If this sounds like the right full-time or part-time Painter opportunity for you, apply today!

About Stewart Painting

Stewart Painting provides high-quality and award-winning power washing, carpentry, and repainting services. The residents, business owners, and town managers of Cape Cod, Plymouth, and South Shore have become loyal clients who love our services. Our brand of professional service shows up in every project we complete, making us the trusted provider for all things paint.

We rely on our team to uphold our reputation in the community and exceed customer expectations. That is why we hire and retain only the best and most motivated people. We also offer our employees all things needed to be personally and professionally successful including great pay and an exceptional work culture.

a Day In The Life Of An Experienced Painter

As an Experienced Painter, your skilled trade abilities help you excel in this position. Your ability to safely move, climb, and work from extension ladders allows for productive workdays. You work well with a team during all aspects of interior and exterior projects, including prep, paint, and clean up. Whether brush painting or paint spraying, we truly rely on your skilled trade abilities to assist in the overall success of our business!

Experienced Painter Qualifications
Valid driver's license
2 years of previous painting experience
Painting experience is required! Do you take responsibility for your decisions? Are you adaptable and work well under pressure? Can you prioritize multiple tasks effectively? Are you passionate about quality control? Are you clean and thorough throughout paint jobs? Do you have solid interpersonal, organizational, and communication skills? If yes, we want to meet you!

ARE YOU READY TO JOIN OUR PAINTING TEAM?

If you feel you'll be perfect as our full-time or part-time Painter, apply now using our initial 3-minute, mobile-friendly application.

Location: 02043

Job Posted by ApplicantPro"
6,"Stewart Painting, Inc",https://www.linkedin.com/company/stewart-painting-inc/people/?facetGeoRegion=103644278&keywords=painter%20painting,Experienced Painter,"About the job
This job is sourced from a job board. Learn more
Stewart Painting is actively seeking a detail-oriented full-time or part-time Experienced Painter to provide the highest quality of interior and exterior painting for our clients in the Hingham, MA area. Are you self-motivated and goal-oriented? Do you have the desire to work with a company that values and respects you? Do you take pride in the quality of your workmanship? If so, read on about this job! This painting position earns a competitive wage of $20 to $23 an hour , based on skill level, and works M-F 7:30am-5pm . We provide amazing benefits and perks , including time and a half for over 40 hours worked, medical and dental insurance, 401(k) with employer match, paid holidays, paid vacation, and more.

If this sounds like the right full-time or part-time Painter opportunity for you, apply today !

ABOUT STEWART PAINTING Stewart Painting provides high-quality and award-winning power washing, carpentry, and repainting services. The residents, business owners, and town managers of Cape Cod, Plymouth, and South Shore have become loyal clients who love our services. Our brand of professional service shows up in every project we complete, making us the trusted provider for all things paint. We rely on our team to uphold our reputation in the community and exceed customer expectations. That is why we hire and retain only the best and most motivated people. We also offer our employees all things needed to be personally and professionally successful including great pay and an exceptional work culture.

A DAY IN THE LIFE OF AN EXPERIENCED PAINTER As an Experienced Painter, your skilled trade abilities help you excel in this position. Your ability to safely move, climb, and work from extension ladders allows for productive workdays. You work well with a team during all aspects of interior and exterior projects, including prep, paint, and clean up. Whether brush painting or paint spraying, we truly rely on your skilled trade abilities to assist in the overall success of our business! EXPERIENCED PAINTER QUALIFICATIONS Valid driver's license 2 years of previous painting experience Painting experience is required ! Do you take responsibility for your decisions? Are you adaptable and work well under pressure? Can you prioritize multiple tasks effectively? Are you passionate about quality control? Are you clean and thorough throughout paint jobs? Do you have solid interpersonal, organizational, and communication skills? If yes, we want to meet you!

ARE YOU READY TO JOIN OUR PAINTING TEAM? If you feel you'll be perfect as our full-time or part-time Painter, apply now using our initial 3-minute, mobile-friendly application. Location: 02043 Job Posted by ApplicantPro"
7,Woodmeister Master Builders,https://www.linkedin.com/company/woodmeister-master-builders/people/?facetGeoRegion=103644278&keywords=painter%20painting,Painter,"About the job
This job is sourced from a job board. Learn more
Woodmeister Master Builders is a high-end residential Construction, Millwork and Lifestyle Management Services company providing fine quality home building, renovations, custom cabinetry, architectural woodworking and residential management services for discerning clientele. Job Title: Painter Woodmeister Master Builders is looking to add a skilled residential Painter and Helper to our team. Responsibilities include:

Preparation and painting of exterior walls.
Preparation and painting of interior walls, millwork, ceilings, floors and other structural surfaces.
Adherence to our exacting standards of quality and customer satisfaction. Requirements:
3 to 5 years of painting experience in high-end residential or commercial markets.
Excellent attention to detail.
Good teamwork and communication skills.
Able to travel We offer a competitive salary and benefits package, a friendly, entrepreneurial environment that challenges you to develop your talents. If you are committed to excellence and complete customer satisfaction, and are ready to take your skills to the next level, please contact us. EOE o This is a full time position with excellent pay and benefits."
8,McGovern Automotive Group,https://www.linkedin.com/company/mcgovern-automotive-group/people/?facetGeoRegion=103644278&keywords=painter%20painting,In- house Painter,"About the job
This job is sourced from a job board. Learn more
In house Painter Salary $45k-$55K McGovern Automotive is expanding and is seeking an energetic, self-motivated individual to join our maintenance team as a painter. The right candidate should be able to work independently and have some computer technology skills. The job will entail but not limited to: sheetrock replacement, repair, color matching, light carpentry, and light maintenance work. If you think you would be the right fit, please inquire within for a confidential interview. McGovern Automotive Group's culture of ""customer first"" and our commitment to transparency enables us to provide exceptional service and superior value for our customers. Our rapidly expanding business provides significant opportunity for learning, training, and career growth for our team. In addition, we provide a highly competitive compensation plan, along with benefits (including medical, dental, 401K with matching, paid time off) and a professional, team oriented and promote from within culture McGovern Automotive Group is an Equal Opportunity Employer*"
9,"Stewart Painting, Inc",https://www.linkedin.com/company/stewart-painting-inc/people/?facetGeoRegion=103644278&keywords=painter%20painting,Painter Apprentice,"About the job
This job is sourced from a job board. Learn more
Stewart Painting is actively seeking a detail-oriented full-time or part-time Painter Apprentice to provide the highest quality of interior and exterior painting for our clients in the Hingham, MA area. Are you self-motivated and goal-oriented? Do you have the desire to work with a company that values and respects you? Do you take pride in the quality of your workmanship? If so, read on about this job!

This painting apprentice position earns a competitive wage of $17-$20 an hour, based on skill level, and works M-F 7:30 am-5 pm. We provide amazing benefits and perks, including time and a half for over 40 hours worked, medical and dental insurance, a 401(k) plan with employer match, paid holidays, paid vacation, and more. If this sounds like the right full-time or part-time Painter opportunity for you, apply today!

About Stewart Painting

Stewart Painting provides high-quality and award-winning power washing, carpentry, and painting services. The residents, business owners, and town managers of Cape Cod, Plymouth, and South Shore have become loyal clients who love our services. Our brand of professional service shows up in every project we complete, making us the trusted provider for all things paint.

We rely on our team to uphold our reputation in the community and exceed customer expectations. That is why we hire and retain only the best and most motivated people. We also offer our employees all things needed to be personally and professionally successful including great pay and an exceptional work culture.

A DAY IN THE LIFE OF A PAINTER APPRENTICE

As a Painter Apprentice, you learn skills to help you excel in this position. You learn how to safely move, climb, and work from extension ladders which allows for productive workdays. You work well with a team during all aspects of interior and exterior projects, including prep, paint, and clean up. Whether brush painting or paint spraying, we truly rely on your desire to learn these skills to assist in the overall success of our business!

Painter Apprentice Qualifications
Valid driver's license
No Painting experience necessary! Do you take responsibility for your decisions? Are you adaptable and work well under pressure? Can you prioritize multiple tasks effectively? Are you passionate about quality control? Are you clean and thorough throughout paint jobs? Do you have solid interpersonal, organizational, and communication skills? If yes, we want to meet you!

ARE YOU READY TO JOIN OUR PAINTING TEAM?

If you feel you'll be perfect as our full-time or part-time Painter, apply now using our initial 3-minute, mobile-friendly application.

Location: 02043

Job Posted by ApplicantPro"
